,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
0,b'Can\xe2\x80\x99t wait for you kids to hear this!!!  #CubScoutBowlingPins #GuidedByVoices #GBV #RobertPollard @BrennaEhrlich https://t.co/q4xi9S3qgb',1389683945143427076,136,2021-05-04 20:50:46,,,en,Twitter for iPhone,0,0
1,"b'RT @CedawPT: Women journalists can be targeted on the basis of their gender &amp; occupation, facing both offline &amp; online attacks, including h\xe2\x80\xa6'",1389683664150319113,148,2021-05-04 20:49:39,,,en,Twitter for Android,0,18
2,"b'RT @mobkimarkus7: Save the Girl Child, support \xf0\x9f\x96\x90\xef\xb8\x8f the eradication of Gender Based Violence in Bauchi State.\n#implementVAPPLawBauchi\n#GBV \n@\xe2\x80\xa6'",1389681203838656516,140,2021-05-04 20:39:52,,,en,Twitter for Android,0,5
3,"b'RT @CedawPT: Women journalists can be targeted on the basis of their gender &amp; occupation, facing both offline &amp; online attacks, including h\xe2\x80\xa6'",1389681007369011209,148,2021-05-04 20:39:05,,,en,Twitter for Android,0,18
4,b'Important study about how how construction work can lead to #gbv in communities in #Malawi https://t.co/7o29LG9XIX',1389680772123086849,114,2021-05-04 20:38:09,,,en,Twitter for Android,0,0
5,"b""I've tweeted about police stations for women to respond to #VAWG #GBV. \n\nAt very least, these models can inform much needed changes to policing...\n\nIt's long past time to reimagine policing! \n\nPolice Culture: A Conversation with Lesley Bikos https://t.co/QiE2ocITLD via @YouTube""",1389679877247455236,278,2021-05-04 20:34:36,,,en,Twitter Web App,0,0
6,"b'RT @mobkimarkus7: Save the Girl Child, support \xf0\x9f\x96\x90\xef\xb8\x8f the eradication of Gender Based Violence in Bauchi State.\n#implementVAPPLawBauchi\n#GBV \n@\xe2\x80\xa6'",1389677661413330948,140,2021-05-04 20:25:48,,,en,Twitter for Android,0,5
7,b'Minister of Community Safety @AlbertFritz_ calls for an urgent investigation by the W Cape #Police Ombudsman into a report that a rape-survivor was told by SAPS  to investigate her own complaints when she tried to report the case at the Khayelitsha Site B Police Station. #GBV',1389677487278469123,276,2021-05-04 20:25:06,,,en,Twitter for Android,0,0
8,"b""RT @CabsnKings: Also, when you use the outdated 'gender-based violence' #GBV, it implies that male crimes of violence against women and gir\xe2\x80\xa6""",1389677418768523265,140,2021-05-04 20:24:50,,,en,Twitter for iPhone,0,7
9,"b'@lelomzaca your abusive manner will eventually be revealed! We as women will prevail and will continue to fight for what\xe2\x80\x99s right.We will not be abused by the likes of you any longer,We have been quiet for far too long. @Radio2000ZA #GBV @SPORTATSABC @lebomashile \xf0\x9f\x98\xb7\xf0\x9f\x96\xa4'",1389675312569626625,265,2021-05-04 20:16:28,,,en,Twitter for iPhone,0,0
