,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
0,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1389684729218093058,140,2021-05-04 20:53:53,,,en,Twitter Web App,0,10284
1,b'Had Twitter for like a month and still dk how that shit works #rape',1389684562792484868,67,2021-05-04 20:53:13,,,en,Twitter for iPhone,0,0
2,b'RT @PixelProject: #AFRICA: Abuse of women in IDPs\n\nhttps://t.co/tPKyjfQl1D\n\n#VAW #Rape #SexualAssault #SexForSurvival #ConflictZones',1389684068271468551,132,2021-05-04 20:51:15,,,en,Twitter for Android,0,2
3,"b'RT @CDCInjury: 97% of males who survived #rape, physical violence, or #stalking by an intimate partner had a female partner. We must unders\xe2\x80\xa6'",1389683952424833027,140,2021-05-04 20:50:47,,,en,Twitter for iPhone,0,2
4,"b'RT @CDCInjury: 97% of males who survived #rape, physical violence, or #stalking by an intimate partner had a female partner. We must unders\xe2\x80\xa6'",1389683668688515072,140,2021-05-04 20:49:40,,,en,Twitter Web App,0,2
5,"b'RT @notice_com_ng: Man defiles his three teenage daughters, another 10-year-old girl - Ogun - https://t.co/3hIv0I6y01 #Nigerian News #ogun\xe2\x80\xa6'",1389683604037439496,139,2021-05-04 20:49:24,,,en,io167666,0,3
6,"b'97% of males who survived #rape, physical violence, or #stalking by an intimate partner had a female partner. We must understand the experiences of male victims of violence. Get info &amp; resources: https://t.co/KowPx4DGCJ'",1389682513111654402,223,2021-05-04 20:45:04,,,en,Hootsuite Inc.,3,2
7,"b'Idaho legislative intern reports rape, is ID\xe2\x80\x99d by lawmaker Republican/conservative women: please explain this... #idaho #rape Good to see you\xe2\x80\x99re protecting him...I mean her...ok what are you doing?  https://t.co/S3FaxaAQxr'",1389682415451398149,222,2021-05-04 20:44:41,,,en,Twitter for iPhone,0,0
8,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1389681959329206272,140,2021-05-04 20:42:52,,,en,Twitter for iPhone,0,10284
9,"b'RT @notice_com_ng: Man defiles his three teenage daughters, another 10-year-old girl - Ogun - https://t.co/3hIv0I6y01 #Nigerian News #ogun\xe2\x80\xa6'",1389681326786191362,139,2021-05-04 20:40:21,,,en,EndPoliceBrutality,0,3
10,"b'Man defiles his three teenage daughters, another 10-year-old girl - Ogun - https://t.co/3hIv0I6y01 #Nigerian News #ogun #rape #teenage daughters #Wizkid #Davido #EndSARS'",1389681304845828100,169,2021-05-04 20:40:16,,,en,notice.com.ng,1,3
11,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1389680872937426944,140,2021-05-04 20:38:33,,,en,Twitter Web App,0,10284
12,b'RT @PixelProject: #AFRICA: Abuse of women in IDPs\n\nhttps://t.co/tPKyjfQl1D\n\n#VAW #Rape #SexualAssault #SexForSurvival #ConflictZones',1389679991621881856,132,2021-05-04 20:35:03,,,en,Twitter Web App,0,2
13,"b'RT @birdsongs52: @AP Just so I understand this correctly, GOP groups are against #sextrafficking but #rape is ok?'",1389678911198572546,113,2021-05-04 20:30:46,,,en,Twitter for Android,0,4
14,b'#AFRICA: Abuse of women in IDPs\n\nhttps://t.co/tPKyjfQl1D\n\n#VAW #Rape #SexualAssault #SexForSurvival #ConflictZones',1389678718868623361,114,2021-05-04 20:30:00,,,en,TweetDeck,2,2
15,"b'Utah man wanted in 2016 kidnapping, rape arrested in Mexico\n#Utah #Mexico #rape #kidnapping @USMarshalsHQ  https://t.co/X26jm7uLEl via @GephardtDaily'",1389678232224468996,149,2021-05-04 20:28:04,,,en,Twitter Web App,0,0
