,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
0,b'Death to #religion\nDeath to #homophobia\nDeath to #transphobia \nDeath to #bigotry \nDeath to #sexism\nDeath to religious #sexualabuse \nDeath to #racism \n\nFu@# your feelings',1389681824906063877,169,2021-05-04 20:42:20,,,en,Twitter for Android,0,0
1,"b'RT @DingaBelle: @_snowbunting @Flomoll \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc Well said, Jackie @_snowbunting \xf0\x9f\x91\x8d No Govt would ever entertain the thought of mistreating #Men th\xe2\x80\xa6'",1389680927031369734,140,2021-05-04 20:38:46,,,en,Twitter for Android,0,3
2,"b'RT @DingaBelle: @_snowbunting @Flomoll \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc Well said, Jackie @_snowbunting \xf0\x9f\x91\x8d No Govt would ever entertain the thought of mistreating #Men th\xe2\x80\xa6'",1389676992648318980,140,2021-05-04 20:23:08,,,en,Twitter for iPhone,0,3
3,"b""Finally watched #SexyLamp after years of trying! Thank you @KatieArnstein \xf0\x9f\x99\x8f\xf0\x9f\x8e\xad\n\nIf you want to support #WomenInTheatre you can catch it on demand until tomorrow. Don't miss out! \xf0\x9f\x91\x87\xf0\x9f\x91\x81 #ActorsLife #Sexism #MeToo https://t.co/ObMB3NlbFJ""",1389676944782934017,229,2021-05-04 20:22:57,,,en,Twitter for Android,1,0
4,"b'\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\nWhile good people were/are sleeping, this is happening....\n#Fascism, #Capitalism, #Neoliberalism are rising &amp; inciting #Hate, #Xenophobia, #Racism, #Sexism, etc., and stirring up #Nationalism and self serving #Greed.\n#Unite and #ActNow to #StopFascism.\n#SaveOurPlanet. https://t.co/fe576Gw2Vw'",1389675769522184199,302,2021-05-04 20:18:17,,,en,Twitter for Android,1,0
5,"b'RT @DingaBelle: @_snowbunting @Flomoll \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc Well said, Jackie @_snowbunting \xf0\x9f\x91\x8d No Govt would ever entertain the thought of mistreating #Men th\xe2\x80\xa6'",1389674632307937295,140,2021-05-04 20:13:45,,,en,Twitter for iPhone,0,3
6,b'Woman: \xe2\x80\x9cI am fed up of men sexualising and Wolf-whistling to me.\xe2\x80\x9d \n\nAlso woman: #feminism #doublestandards #sexism #sexualisation https://t.co/DtSWTd7tmI',1389669868581101570,153,2021-05-04 19:54:50,,,en,Twitter for iPhone,0,0
7,"b'@_snowbunting @Flomoll \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc Well said, Jackie @_snowbunting \xf0\x9f\x91\x8d No Govt would ever entertain the thought of mistreating #Men the way #50sWomen have been, IMO it\xe2\x80\x99s pure #Patriarchy #Misogyny #Discrimination #Sexism &amp; #Ageism!\n\n#CEDAW = Legal #Equality, which #Women STILL don\xe2\x80\x99t have! UK needs #CEDAWinLaw!\xf0\x9f\xa4\x9d'",1389666913320583170,305,2021-05-04 19:43:05,,,en,Twitter for iPad,3,3
8,"b""@BerniceKing #Amerikkka is soft on facts, big on empty ''patriotic'' statements. #Racism, #Sexism #Misogyny, #Homophobia and lack of education regarding the psychology behind these attitudes and opinions make #amerikkkans look small. #DEFY \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88""",1389656318110310401,244,2021-05-04 19:00:59,,,en,Twitter Web App,0,0
9,b'@c_accardi1 #sexism\xf0\x9f\x98\x8e',1389646949037580289,20,2021-05-04 18:23:45,,,und,Twitter Web App,1,0
