,Tweets,id,lens,date,place,coordinates,lang,source,likes,retweets
0,b'@DrMcKinn @MailOnline #SHOCKING \n#Rape\n\n#Accountability \nAll Wo/Men !!!\n\n#Truth \n#TruthMatters \n#Hope\xf0\x9f\x95\x8a',1390818982899249155,102,2021-05-08 00:01:00,,,en,Twitter for Android,0,0
1,b'A total lack of surprise. #Morrison/#Berejiklian don\xe2\x80\x99t surprise any more. They treat people who vote for the #lnp like sh%t and every day there is another sh%tty thing. Is anyone surprised that the legal prof still think woman dying in #dv or #rape is collateral damage?',1390818602685632513,270,2021-05-07 23:59:29,,,en,Twitter for iPad,0,0
2,"b'Desde su constituci\xc3\xb3n en el 2014, la Regi\xc3\xb3n Administrativa y de Planeaci\xc3\xb3n Especial #RAPE ha sido la punta de lanza en el pa\xc3\xads, en la promoci\xc3\xb3n de la integraci\xc3\xb3n regional para el desarrollo econ\xc3\xb3mico, social, ambiental y tur\xc3\xadstico de los territorios.'",1390818178511654914,250,2021-05-07 23:57:48,,,es,Twitter for iPhone,0,0
3,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1390814593992298496,140,2021-05-07 23:43:33,,,en,Twitter for iPhone,0,10366
4,"b'RT @Justice4Stuart: Stuart and his Mum and Nan are no longer here.\nStuart\xe2\x80\x99s Dad is terminally ill.\nLet\xe2\x80\x99s help the 2 people left, Sue Homan\xe2\x80\xa6'",1390812197438246912,139,2021-05-07 23:34:02,,,en,Twitter for Android,0,3
5,b'#rape #AllegedRapistChristianPorter #ChristianPorter #law #australia #bias https://t.co/QUyqAFzuJc',1390811934191099905,98,2021-05-07 23:32:59,,,und,Twitter for iPhone,1,0
6,"b'#TrueCrime News:\n\n#VinsonFilyaw, who was convicted of the #kidnap, #rape and #torture of then-14-year-old #ElizabethShoaf as she was kept in an underground bunker in 2006, has died in prison.\n\nMore info here: https://t.co/lEuSzilqeN'",1390811836786827265,232,2021-05-07 23:32:36,,,en,Twitter Web App,0,0
7,b'Similar to #lesemajeste laws in certain SE Asian country #ChristianPorter #AllegedRapistChristianPorter #rape #Australia https://t.co/MamWzDyghw',1390811632314380288,144,2021-05-07 23:31:47,,,en,Twitter for iPhone,0,0
8,b'#ChristianPorter #AllegedRapistChristianPorter #rape #Australia #CabinetMinister https://t.co/H3rtTS6rP1',1390810417690120193,104,2021-05-07 23:26:58,,,und,Twitter for iPhone,0,0
9,"b'RT @Justice4Stuart: Stuart and his Mum and Nan are no longer here.\nStuart\xe2\x80\x99s Dad is terminally ill.\nLet\xe2\x80\x99s help the 2 people left, Sue Homan\xe2\x80\xa6'",1390810325499457543,139,2021-05-07 23:26:36,,,en,Twitter Web App,0,3
